order_id,bearing_id,created_at,severity,description,status,recommended_action
b56aff7e-e198-4978-8ffc-3f89fdaf12b0,INT-001,2024-01-01 00:00:17,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
9c0d437e-55bb-468a-87c6-4766a6d38fb5,INT-001,2024-01-01 00:00:18,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.402.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
30df4360-7bec-4c84-b33d-393d7e01b8f8,INT-001,2024-01-01 00:00:21,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
218fed09-8c4b-4028-87b9-4ff2efaad907,INT-001,2024-01-01 00:00:23,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
ff29b310-6f79-49a8-861d-39f149bcb5f0,INT-001,2024-01-01 00:00:24,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
3de7cd07-74f9-4694-b3ec-7f2f9a7d8553,INT-001,2024-01-01 00:00:30,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.401.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
7ac771ff-6789-4e58-898b-65c9163c5c65,INT-001,2024-01-01 00:00:52,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.408.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
5991ab44-34b0-4afc-8f81-eb400930e245,INT-001,2024-01-01 00:00:53,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.407.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
9766dc58-7c19-4ba1-961d-bd19ba0a5de5,INT-001,2024-01-01 00:01:06,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.400.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
73bbbff5-d4b6-4814-b456-221ee3a8ccc3,INT-001,2024-01-01 00:01:07,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.400.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
22935c5b-2b9b-4561-90c0-85f7c215bdaa,INT-001,2024-01-01 00:01:08,critical,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.202.,open,Immediate bearing replacement required. Take equipment offline.
96f6de0f-643c-454c-9f35-9c997c1b134f,INT-001,2024-01-01 00:01:09,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.400.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
d016a0ca-6026-4825-8a79-920596bc6cb3,INT-001,2024-01-01 00:01:35,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.402.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
7bedcd4c-49f2-4080-9640-dde8fa234cfa,INT-001,2024-01-01 00:01:36,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
ca51ddd5-89aa-4324-a580-7d7c8c66b46a,INT-001,2024-01-01 00:01:37,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
6bf5dcbe-fa45-4e32-8314-5706906bc07f,INT-001,2024-01-01 00:01:49,warning,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.403.,open,Schedule inspection within 7 days. Monitor vibration and temperature trends.
b993fad0-514a-4293-ad2f-960945b437a5,INT-001,2024-01-01 00:01:50,critical,Anomaly detected on bearing 'INT-001'. Health score dropped to 0.203.,open,Immediate bearing replacement required. Take equipment offline.
